,player_id,actual_name,twitter_handle,position,height,height_inches,feet,inches,weight,shooting_hand,college,high_school,draft_team,draft_position,overall_pick,draft_round,round_pick,nba_debut,experience,nba_years,birthdate,birthyear,age,exact_age,birthplace,birthcity,birthstate,birthcountry,high_school_location,high_school_city,high_school_state,numbers,contract_terms,teams_colors,player_url,scrape_date
amundlo01,amundlo01,Louis Gabriel Amundson,@LouAmundson17,Power Forward-Center,6'9,81,6,9,225,Right,"University of Nevada, Las Vegas",Monarch,,,,,,2/24/07,7 years,7,12/7/82,1982,31,31y 0m 0d 6H 0M 0S,"Ventura, California",Ventura,California,USA,"Louisville, Colorado",Louisville,Colorado,22;20;17;19;17;17;17;17;17,"Signed November 12, 2013 for an assumed minimum salary for the remainder of the season.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2007-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Philadelphia 76ers, 2007-2008-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2009-2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2011-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2012-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2013-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/a/amundlo01.html,12/7/13 15:54
anderal01,anderal01,Alan Jeffery Anderson,@ASqared06,Small Forward-Shooting Guard,6'6,78,6,6,220,Right,Michigan State University,DeLaSalle,,,,,,11/12/05,4 years,4,10/16/82,1982,31,31y 0m 52d 6H 0M 0S,"Minneapolis, Minnesota",Minneapolis,Minnesota,USA,"Minneapolis, Minnesota",Minneapolis,Minnesota,15;6;6,"Signed July 30, 2013 for an assumed minimum salary for 2 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#ff3030;border-color:#191970;-Charlotte Bobcats, 2006-2007-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2012-2013-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2014",http://www.basketball-reference.com/players/a/anderal01.html,12/7/13 15:54
anderch01,anderch01,Christopher Claus Andersen,,Center-Power Forward,6'10,82,6,10,230,Right,Blinn College,Iola,,,,,,11/23/01,11 years,11,7/7/78,1978,35,35y 0m 153d 6H 0M 0S,"Long Beach, California",Long Beach,California,USA,"Iola, Texas",Iola,Texas,15;12;12;12;1;11;11,"Signed July 10, 2013 for an assumed minimum salary for 2 years.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Denver Nuggets, 2002-2003-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#0000cd;-Denver Nuggets, 2004-poptip uni_square-color:#ffffff;background-color:#008080;border-color:#800080;-New Orleans Hornets, 2005-poptip uni_square-color:#ffffff;background-color:#008080;border-color:#800080;-New Orleans/Oklahoma City Hornets, 2006-poptip uni_square-color:#ffffff;background-color:#008080;border-color:#800080;-New Orleans Hornets, 2008-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2009-2012-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2013-2014",http://www.basketball-reference.com/players/a/anderch01.html,12/7/13 15:54
anderja01,anderja01,James Lee Anderson,@25_Anderson,Shooting Guard-Small Forward,6'6,78,6,6,215,Right,Oklahoma State University,Junction City,San Antonio Spurs,1st round 20th pick 20th overall,20,1,20,10/27/10,3 years,3,3/25/89,1989,24,24y 0m 257d 0H 0M 0S,"El Dorado, Arkansas",El Dorado,Arkansas,USA,"Junction City, Arkansas",Junction City,Arkansas,25;11;5;9,,"poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2011-2012-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2013-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Philadelphia 76ers, 2014",http://www.basketball-reference.com/players/a/anderja01.html,12/7/13 15:54
anderry01,anderry01,Ryan James Anderson,@ryananderson33,Power Forward,6'10,82,6,10,240,Right,University of California,Oak Ridge,New Jersey Nets,1st round 21st pick 21st overall,21,1,21,10/29/08,5 years,5,5/6/88,1988,25,25y 0m 214d 18H 0M 0S,"Sacramento, California",Sacramento,California,USA,"El Dorado Hills, California",El Dorado Hills,California,20;33;33;33,"Signed July 11, 2012 for an assumed $34,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2009-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2010-2012-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/a/anderry01.html,12/7/13 15:54
antetgi01,antetgi01,Giannis Antetokounmpo,,Small Forward,6'9,81,6,9,210,Right,,,Milwaukee Bucks,1st round 15th pick 15th overall,15,1,15,NA,Rookie,0,12/6/94,1994,19,19y 0m 1d 6H 0M 0S,"Athens, Greece",Athens,,Greece,,,,34,"Signed July 30, 2013.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2014",http://www.basketball-reference.com/players/a/antetgi01.html,12/7/13 15:54
anthoca01,anthoca01,Carmelo Kyam Anthony,@carmeloanthony,Small Forward-Power Forward,6'8,80,6,8,230,Right,Syracuse University,Oak Hill Academy,Denver Nuggets,1st round 3rd pick 3rd overall,3,1,3,10/29/03,10 years,10,5/29/84,1984,29,29y 0m 191d 18H 0M 0S,"New York, New York",New York,New York,USA,"Mouth of Wilson, Virginia",Mouth of Wilson,Virginia,15;15;7,"Signed extension on February 22, 2011 for an assumed $64,166,862 for 3 years that starts in 2012-13.  2014-15 is an ETO.","poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#0000cd;-Denver Nuggets, 2004-2008-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2009-2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2011-2014",http://www.basketball-reference.com/players/a/anthoca01.html,12/7/13 15:54
anthojo01,anthojo01,Joel Vincent Anthony,,Center-Power Forward,6'9,81,6,9,245,Left,"University of Nevada, Las Vegas",Dawson College,,,,,,11/27/07,6 years,6,8/9/82,1982,31,31y 0m 120d 6H 0M 0S,"Montreal, Canada",Montreal,,Canada,"Montreal Canada, ",Montreal Canada,,50,"Signed July 16, 2010 for an assumed $18,250,000 for 5 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2008-2014",http://www.basketball-reference.com/players/a/anthojo01.html,12/7/13 15:54
anticpe01,anticpe01,Pero Antic,,Power Forward,6'11,83,6,11,260,Right,,,,,,,,10/30/13,Rookie,0,7/29/82,1982,31,31y 0m 131d 6H 0M 0S,"Skopje, Macedonia",Skopje,,Macedonia,,,,6,,"poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2014",http://www.basketball-reference.com/players/a/anticpe01.html,12/7/13 15:54
arizatr01,arizatr01,Trevor Anthony Ariza,@TrevorAriza,Small Forward-Shooting Guard,6'8,80,6,8,200,Right,"University of California, Los Angeles",Westchester,New York Knicks,2nd round 14th pick 43rd overall,43,2,14,11/3/04,9 years,9,6/30/85,1985,28,28y 0m 160d 0H 0M 0S,"Miami, Florida",Miami,Florida,USA,"Los Angeles, California",Los Angeles,California,21;1;3;1;1;1,"Signed July 8, 2009 for an assumed $33,953,200 for 5 years.  Player Option for 2013-14 was picked up on June 26, 2013.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2005-2006-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2006-2008-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2008-2009-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2010-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2011-2012-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2013-2014",http://www.basketball-reference.com/players/a/arizatr01.html,12/7/13 15:54
artesro01,artesro01,Metta World Peace,,Small Forward,6'6,78,6,6,244,Right,St. John's University,La Salle Academy,Chicago Bulls,1st round 16th pick 16th overall,16,1,16,11/3/99,14 years,14,11/13/79,1979,34,34y 0m 24d 12H 0M 0S,"Queensbridge, New York",Queensbridge,New York,USA,"New York, New York",New York,New York,15;15;23;91;93;96;37;15;51,"Signed July 16, 2013 for an assumed $3,251,550 for 2 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2000-2002-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2002-2006-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2003-2004-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2005-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2006-2008-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2009-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2010-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2011-2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2014",http://www.basketball-reference.com/players/a/artesro01.html,12/7/13 15:54
arthuda01,arthuda01,Darrell Antwonne Arthur,,Power Forward-Small Forward,6'9,81,6,9,225,Right,University of Kansas,South Oak Cliff,New Orleans Hornets,1st round 27th pick 27th overall,27,1,27,10/29/08,4 years,4,3/25/88,1988,25,25y 0m 256d 18H 0M 0S,"Dallas, Texas",Dallas,Texas,USA,"Dallas, Texas",Dallas,Texas,00;00,"Signed July 13, 2012 for an assumed $9,695,049 for 3 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2009-2013-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2014",http://www.basketball-reference.com/players/a/arthuda01.html,12/7/13 15:54
asikom01,asikom01,Omer Faruk Asik,@AsikOmer,Center,7'0,84,7,0,255,Right,,,Portland Trail Blazers,2nd round 6th pick 36th overall,36,2,6,10/27/10,3 years,3,7/4/86,1986,27,27y 0m 156d 6H 0M 0S,"Bursa, Turkey",Bursa,,Turkey,,,,3;3,"Signed offer sheet on July 20, 2012 for an assumed $25,123,938 for 3 years.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2011-2012-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-2014",http://www.basketball-reference.com/players/a/asikom01.html,12/7/13 15:54
augusdj01,augusdj01,Darryl Gerard Augustin Jr.,,Point Guard,6'0,72,6,0,180,Right,University of Texas at Austin,Hightower,Charlotte Bobcats,1st round 9th pick 9th overall,9,1,9,10/30/08,5 years,5,11/10/87,1987,26,26y 0m 27d 12H 0M 0S,"New Orleans, Louisiana",New Orleans,Louisiana,USA,"Missouri City, Texas",Missouri City,Texas,14;14;14,"Signed July 22, 2013 for an assumed $1,267,000 for 1 year.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2009-2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2014",http://www.basketball-reference.com/players/a/augusdj01.html,12/7/13 15:54
ayongu01,ayongu01,Gustavo Alfonso Ayon,@Gustavo_Ayon15,Center-Power Forward,6'10,82,6,10,250,Right,,,,,,,,1/1/12,2 years,2,4/1/85,1985,28,28y 0m 250d 0H 0M 0S,"Tepic, Mexico",Tepic,,Mexico,,,,15;19;19;14,"Signed December 23, 2011 for an assumed $4,567,000 for 3 years.  Team Option for 2013-14 was picked up on June 21, 2013.  Waived July 25, 2013.  Claimed off of waivers on July 28, 2013.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2012-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2013-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2014",http://www.basketball-reference.com/players/a/ayongu01.html,12/7/13 15:54
bareajo01,bareajo01,Jose Juan Barea,@jjbareapr,Point Guard-Shooting Guard,6'0,72,6,0,175,Right,Northeastern University,Miami Christian School,,,,,,11/4/06,7 years,7,6/26/84,1984,29,29y 0m 163d 18H 0M 0S,"Mayaguez, Puerto Rico",Mayaguez,,Puerto Rico,"Miami, Florida",Miami,Florida,11;11,"Signed December 12, 2011 for an assumed $18,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2007-2011-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2012-2014",http://www.basketball-reference.com/players/b/bareajo01.html,12/7/13 15:54
bargnan01,bargnan01,Andrea Bargnani,@AndreaBargnani,Power Forward-Center,7'0,84,7,0,225,Right,,,Toronto Raptors,1st round 1st pick 1st overall,1,1,1,11/1/06,7 years,7,10/26/85,1985,28,28y 0m 42d 0H 0M 0S,"Rome, Italy",Rome,,Italy,,,,7;77,"Extension signed on July 8, 2009 for an assumed $50,000,000 plus incentives for 5 years starting in 2010-11.  2013-14 has up to $2,000,000 in unlikely incentives not included here.  Contract includes trade bonus that counts as $1,112,500 in 2013-14.  2014-15 is an ETO.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2007-2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2014",http://www.basketball-reference.com/players/b/bargnan01.html,12/7/13 15:54
barneha02,barneha02,Harrison Bryce Jordan Barnes,@HBarnes,Small Forward,6'8,80,6,8,210,Right,University of North Carolina,Ames,Golden State Warriors,1st round 7th pick 7th overall,7,1,7,10/31/12,1 year,1,5/30/92,1992,21,21y 0m 190d 18H 0M 0S,"Ames, Iowa",Ames,Iowa,USA,"Ames, Iowa",Ames,Iowa,40,"Signed July 3, 2012.  Team Option for 2014-15 picked up on October 25, 2013.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2013-2014",http://www.basketball-reference.com/players/b/barneha02.html,12/7/13 15:54
barnema02,barnema02,Matt Kelly Barnes,@Matt_Barnes22,Small Forward-Power Forward,6'7,79,6,7,235,Right,"University of California, Los Angeles",Del Campo,Memphis Grizzlies,2nd round 17th pick 45th overall,45,2,17,1/19/04,10 years,10,3/9/80,1980,33,33y 0m 272d 18H 0M 0S,"Santa Clara, California",Santa Clara,California,USA,"Sacramento, California",Sacramento,California,22;9;9;21;22;22;22;9,"Signed July 10, 2013 for an assumed $10,188,750 for 3 years.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2004-2014-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2005-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2006-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Philadelphia 76ers, 2006-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2007-2008-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2009-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2010-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2011-2012",http://www.basketball-reference.com/players/b/barnema02.html,12/7/13 15:54
bartowi01,bartowi01,William Denard Barton,@WillTheThrillB5,Shooting Guard,6'6,78,6,6,174,Right,University of Memphis,Brewster Academy,Portland Trail Blazers,2nd round 10th pick 40th overall,40,2,10,11/2/12,1 year,1,1/6/91,1991,22,22y 0m 335d 12H 0M 0S,"Baltimore, Maryland",Baltimore,Maryland,USA,"Wolfeboro, New Hampshire",Wolfeboro,New Hampshire,5,"Signed July 13, 2012 for an assumed $2,254,115 for 3 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2013-2014",http://www.basketball-reference.com/players/b/bartowi01.html,12/7/13 15:54
bassbr01,bassbr01,Brandon Sam Bass,,Power Forward-Center,6'8,80,6,8,240,Right,Louisiana State University,Capitol,New Orleans Hornets,2nd round 3rd pick 33rd overall,33,2,3,11/1/05,8 years,8,4/30/85,1985,28,28y 0m 221d 0H 0M 0S,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,USA,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,33;32;30;30,"Signed July 14, 2012 for an assumed $19,350,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#008080;border-color:#800080;-New Orleans/Oklahoma City Hornets, 2006-2007-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2008-2009-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2010-2011-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2012-2014",http://www.basketball-reference.com/players/b/bassbr01.html,12/7/13 15:54
battish01,battish01,Shane Courtney Battier,@ShaneBattier,Small Forward-Shooting Guard,6'8,80,6,8,220,Right,Duke University,Detroit Country Day School,Memphis Grizzlies,1st round 6th pick 6th overall,6,1,6,11/1/01,12 years,12,9/9/78,1978,35,35y 0m 89d 6H 0M 0S,"Birmingham, Michigan",Birmingham,Michigan,USA,"Beverly Hills, Michigan",Beverly Hills,Michigan,31;31;31;31,"Signed December 9, 2011 for an assumed $9,405,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#40e0d0;-Memphis Grizzlies, 2002-2004-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2005-2011-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2007-2011-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2012-2014",http://www.basketball-reference.com/players/b/battish01.html,12/7/13 15:54
