teamid,season,leagueid,player,num,position,height,weight,birth_date,age,exp,school,player_id,first_name,last_name,team,gp,min,catch_shoot_pts,catch_shoot_fgm,catch_shoot_fga,catch_shoot_fg_pct,catch_shoot_fg3m,catch_shoot_fg3a,catch_shoot_fg3_pct,catch_shoot_efg_pct,catch_shoot_pts_tot,blk,stl,fgm_defend_rim,fga_defend_rim,fgp_defend_rim,blk_tot,dvs,dpp,dtp,drives_fg_pct,pts_48,dpp_tot,dvs_tot,pass,ast,ast_ft,ast_sec,ast_pot,pts_crt,pts_crt_48,ast_tot,pull_ups_pts,pull_ups_fgm,pull_ups_fga,pull_ups_fg_pct,pull_ups_fg3m,pull_ups_fg3a,pull_ups_fg3_pct,pull_ups_efg_pct,pull_ups_pts_tot,reb,reb_chance,reb_col_pct,reb_contested,reb_uncontested,reb_uncontested_pct,reb_tot,oreb,oreb_chance,oreb_col_pct,oreb_contested,oreb_uncontested,oreb_uncontested_pct,dreb,dreb_chance,dreb_col_pct,dreb_contested,dreb_uncontested,dreb_uncontested_pct,shooting_pts,pts_drive,fgp_drive,pts_close,fgp_close,pts_catch_shoot,fgp_catch_shoot,pts_pull_up,fgp_pull_up,fga_drive,fga_close,fga_catch_shoot,fga_pull_up,shooting_efg_pct,cfgm,cfga,cfgp,ufgm,ufga,ufgp,cfg3m,cfg3a,cfg3p,ufg3m,ufg3a,ufg3p,dist,av_spd,dist_pg,dist_48,dist_off,dist_def,av_spd_off,av_spd_def,tch,fc_tch,top,cl_tch,el_tch,pts,pts_tch,pts_hcct,tch_tot
1610612739,2014-15,00,Shawn Marion,31,F,79,228,1978-05-07T07:00:00.000Z,36,15,UNLV,1890,Shawn,Marion,CLE,10,23.3,1.9,0.7,1.3,0.538,0.5,1.1,0.455,0.731,19,0.8,0.5,0.7,1.7,0.412,8,0.7,0.4,1.2,0.4,0.8,4,7,25.2,1.1,0.1,0.3,2.4,2.7,5.6,11,0.2,0.1,0.4,0.25,0,0,,0.25,2,3.6,6.5,.554,1.3,2.3,.361,36,1,2,.500,0.7,0.3,.700,2.6,4.5,.578,0.6,2,.231,5.4,0.4,0.4,1.2,0.429,1.9,0.538,0.2,0.25,0.5,1.4,1.3,0.4,0.52,0,0,,0,0,,0,0,,0,0,,16.2,4.2,1.6,3.3,8.6,7.6,0,0,31.6,20.5,0.7,1.9,0.8,5.4,0.171,0.3,316
1610612745,2014-15,00,Jason Terry,31,G,74,180,1977-09-15T07:00:00.000Z,36,15,Arizona,1891,Jason,Terry,HOU,11,21.5,4.5,1.5,3.6,0.425,1.5,3.5,0.41,0.625,50,0.4,1,0.7,1.1,0.667,4,1.5,0,0.7,0,0,0,16,26.1,1,0.1,0.5,3.2,2.3,5.1,11,1.6,0.6,1.5,0.438,0.4,0.7,0.5,0.562,18,0.7,1.5,.471,0.2,0.5,.250,8,0.2,0.3,.667,0.1,0.1,.500,0.5,1.3,.429,0.1,0.5,.167,7.3,0,0,0,,4.5,0.425,1.6,0.438,0.3,0,3.6,1.5,0.574,0,0,,0,0,,0,0,,0,0,,16.6,4.2,1.5,3.4,8.9,7.7,0,0,34.3,29.2,1.6,0,0.1,7.3,0.212,0.2,377
1610612751,2014-15,00,Andrei Kirilenko,47,F,81,235,1981-02-18T08:00:00.000Z,33,12,St. Petersburg Russia,1905,Andrei,Kirilenko,BKN,7,5.2,0,0,0,,0,0,,,0,0,0.1,0.7,1.1,0.625,0,0.1,0,0.3,0,0,0,1,5.4,0.1,0,0,0.1,0.3,2.6,1,0,0,0,,0,0,,,0,1.1,2.3,.500,0.6,0.6,.500,8,0.3,0.7,.400,0.1,0.1,.500,0.9,1.6,.545,0.4,0.4,.500,0.4,0,0,0,0,0,,0,,0.1,0.1,0,0,0,0,0,,0,0,,0,0,,0,0,,2.7,4.5,0.4,3.6,1.5,1.2,0,0,6.6,3.4,0.2,0.7,0.4,0.4,0.065,0.1,46
1610612759,2014-15,00,Manu Ginobili,20,G,78,205,1977-07-28T07:00:00.000Z,36,12,Bahia Blanca Argentina,1938,Manu,Ginobili,SAS,10,25.1,2.8,1,3.1,0.323,0.8,2.4,0.333,0.452,28,0.1,1,0.6,1.1,0.545,1,5.4,3.7,7.4,0.579,7.1,37,54,31,3.9,0,1.5,7.1,9.3,17.8,39,1.6,0.7,2.4,0.292,0.2,1.1,0.182,0.333,16,2.5,5.4,.463,0.8,1.7,.320,25,0.2,1.2,.167,0.1,0.1,.500,2.3,4.2,.548,0.7,1.6,.304,11.7,3.7,0.579,1.6,0.7,2.8,0.323,1.6,0.292,1.9,1,3.1,2.4,0.447,0,0,,0,0,,0,0,,0,0,,17.4,4.2,1.7,3.3,9.9,7.6,0,0,45.8,40.9,2.3,1.4,0.9,11.7,0.255,0.3,458
1610612739,2014-15,00,Mike Miller,18,F,80,218,1980-02-19T08:00:00.000Z,34,14,Florida,2034,Mike,Miller,CLE,9,11.3,0.3,0.1,1.2,0.091,0.1,1.1,0.1,0.136,3,0,0,0.6,0.9,0.625,0,0,0,0,,0,0,0,10.8,0.3,0,0,0.7,0.8,3.3,3,0.3,0.1,0.1,1,0.1,0.1,1,1.5,3,1.6,2.2,.700,0.4,1.1,.286,14,0.2,0.2,1.000,0.1,0.1,.500,1.3,2,.667,0.3,1,.250,0.9,0,,0,,0.3,0.091,0.3,1,0,0,1.2,0.1,0.308,0,0,,0,0,,0,0,,0,0,,6.9,4.1,0.8,3.3,3.6,3.3,0,0,12.7,8.7,0.2,0.1,0.1,0.9,0.07,0.1,114
1610612746,2014-15,00,Jamal Crawford,11,G,77,200,1980-03-20T08:00:00.000Z,34,14,Michigan,2037,Jamal,Crawford,LAC,10,28.7,3.9,1.3,3.6,0.361,1.3,3.5,0.371,0.542,39,0.1,1.2,0.2,0.4,0.5,1,2.1,2.8,3.2,0.769,4.7,28,21,23.1,3.7,0.2,0.4,4.4,7,11.7,37,5.7,2.6,6.4,0.406,0.5,1.5,0.333,0.445,57,1.9,2.5,.640,0.2,1.4,.125,19,0,0.1,.000,0,0,,1.9,2.4,.667,0.2,1.4,.125,17.1,2.8,0.769,0.2,1,3.9,0.361,5.7,0.406,1.3,0.1,3.6,6.4,0.508,0,0,,0,0,,0,0,,0,0,,18.4,3.9,1.8,3.1,8.8,8,0,0,43.7,34.7,2.2,0.3,2.2,17.1,0.391,0.5,437
1610612746,2014-15,00,Hedo Turkoglu,15,F,82,220,1979-03-19T08:00:00.000Z,35,14,Istanbul Turkey,2045,Hedo,Turkoglu,LAC,7,7.9,0.9,0.3,0.4,0.667,0.3,0.4,0.667,1,6,0,0.4,0.6,1,0.571,0,0,0,0,,0,0,0,7,0.6,0,0,0.9,1.6,9.6,4,0.4,0.1,0.1,1,0.1,0.1,1,1.5,3,1,1,.857,0.1,0.7,.167,7,0.1,0.1,1.000,0,0.1,.000,0.9,0.9,.833,0.1,0.6,.200,2.6,0,,0,,0.9,0.667,0.4,1,0,0,0.4,0.1,1.125,0,0,,0,0,,0,0,,0,0,,3.8,4.1,0.5,3.3,1.4,1.4,0,0,10.7,4.3,0.2,0,0.1,2.6,0.24,0.6,75
1610612742,2014-15,00,Tyson Chandler,6,C,85,240,1982-10-02T07:00:00.000Z,31,13,Dominquez H.S,2199,Tyson,Chandler,DAL,12,27.9,0.3,0.2,0.4,0.4,0,0,,0.4,4,1.7,0.4,3.8,7.5,0.5,20,0,0,0,,0,0,0,28.7,1.3,0.1,0.4,2.1,2.8,4.7,16,0,0,0.1,0,0,0,,0,0,10.8,16.7,.650,4.8,6,.446,129,3.7,5.9,.634,3.2,0.5,.867,7.1,10.8,.659,1.6,5.5,.224,10.9,0,,6.2,0.811,0.3,0.4,0,0,0,3.1,0.4,0.1,0.692,0,0,,0,0,,0,0,,0,0,,21.3,3.8,1.8,3,11.1,10.2,0,0,38.9,19.8,0.8,4.2,5.2,10.9,0.281,0.6,467
1610612741,2014-15,00,Pau Gasol,16,F-C,84,250,1980-07-06T07:00:00.000Z,33,13,Barcelona Spain,2200,Pau,Gasol,CHI,10,34.8,2.6,1.3,3.2,0.406,0,0.2,0,0.406,26,2.5,0.4,5.1,12.1,0.421,25,1.1,0.5,0.8,0.333,0.7,5,11,45.2,1.9,0.3,0.8,4.6,4.8,6.6,19,0.8,0.4,0.9,0.444,0,0,,0.444,8,10.6,16.2,.654,4.1,6.5,.387,106,2.3,3.8,.605,1.7,0.6,.739,8.3,12.4,.669,2.4,5.9,.289,18.6,0.5,0.333,5.9,0.523,2.6,0.406,0.8,0.444,0.6,4.4,3.2,0.9,0.487,0,0,,0,0,,0,0,,0,0,,21.6,3.7,2.2,3,11.7,9.8,0,0,66.8,38.1,1.9,7.6,7.2,18.6,0.278,0.5,668
1610612755,2014-15,00,Jason Richardson,23,G,78,225,1981-01-20T08:00:00.000Z,33,13,Michigan State,2202
1610612751,2014-15,00,Joe Johnson,7,F-G,79,240,1981-06-29T07:00:00.000Z,33,13,Arkansas,2207,Joe,Johnson,BKN,11,35.6,3.4,1.2,3.1,0.382,1,2.6,0.379,0.544,37,0,0.9,1.2,2.4,0.5,0,6.3,5.5,7.6,0.543,7.5,61,69,36.3,4,0.2,1.5,8,9.2,12.4,44,4.8,2.2,5.5,0.393,0.5,1,0.455,0.434,53,5.5,7.8,.698,1.3,4.2,.233,60,0.7,1,.727,0.6,0.1,.875,4.7,6.8,.693,0.6,4.1,.135,17.8,5.5,0.543,1.2,0.833,3.4,0.382,4.8,0.393,4.2,0.5,3.1,5.5,0.506,0,0,,0,0,,0,0,,0,0,,26.5,4.1,2.4,3.2,14.6,11.8,0,0,56.9,47.9,3.2,2,3.8,17.8,0.313,0.4,626
1610612742,2014-15,00,Richard Jefferson,24,F,79,234,1980-06-21T07:00:00.000Z,34,13,Arizona,2210,Richard,Jefferson,DAL,10,10.8,0.6,0.2,1.3,0.154,0.2,1.1,0.182,0.231,6,0.2,0.5,0.6,1,0.6,2,1.2,0.9,1.1,0.429,4,9,12,9.7,0.5,0.2,0.2,1.5,1.1,4.9,5,0,0,0.4,0,0,0,,0,0,2.4,3.6,.667,0.6,1.8,.250,24,0.6,0.7,.857,0.2,0.4,.333,1.8,2.9,.621,0.4,1.4,.222,3.1,0.9,0.429,0.4,1,0.6,0.154,0,0,0.7,0.2,1.3,0.4,0.375,0,0,,0,0,,0,0,,0,0,,7.6,4.2,0.8,3.3,3.8,3.7,0,0,14.8,10.7,0.4,0.3,0,3.1,0.209,0.3,148
1610612763,2014-15,00,Zach Randolph,50,F,81,260,1981-07-16T07:00:00.000Z,32,13,Michigan State,2216,Zach,Randolph,MEM,12,33,0.9,0.4,1.1,0.385,0.1,0.1,1,0.423,11,0.1,1.2,3.1,6.8,0.451,1,0.9,1.2,1.7,0.625,1.8,15,11,31.6,1.3,0.2,0.3,3,3.4,5,16,0.5,0.2,1.3,0.188,0,0,,0.188,6,11.8,19.8,.599,5.2,6.6,.444,141,4.1,7.5,.556,3.6,0.6,.860,7.7,12.2,.626,1.7,6,.217,16.6,1.2,0.625,5.5,0.467,0.9,0.385,0.5,0.188,0.7,5,1.1,1.3,0.452,0,0,,0,0,,0,0,,0,0,,25.3,3.8,2.1,3.1,13.3,11.9,0,0,50.8,30.3,1.4,7.8,4,16.6,0.327,0.5,609
1610612739,2014-15,00,Brendan Haywood,33,C,84,263,1979-11-27T08:00:00.000Z,34,12,North Carolina,2217,Brendan,Haywood,CLE,2,5,1,0.5,0.5,1,0,0,,1,2,0,0,1,1.5,0.667,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,2,2,1.000,0,2,.000,4,0.5,0.5,1.000,0,0.5,.000,1.5,1.5,1.000,0,1.5,.000,2,0,,1,0.5,1,1,0,,0,1,0.5,0,0.4,0,0,,0,0,,0,0,,0,0,,0.7,4.1,0.3,3.2,0.4,0.3,0,0,6,4,0.2,1.5,0,2,0.333,0.5,12
1610612738,2014-15,00,Gerald Wallace,45,F,79,220,1982-07-23T07:00:00.000Z,31,13,Alabama,2222,Gerald,Wallace,BOS,4,7.2,0,0,0,,0,0,,,0,0,0.2,0,0,,0,0.5,0.2,0.2,0,1.7,1,2,8,0,0.2,0.2,0.8,0.2,1.7,0,0,0,0,,0,0,,,0,0.8,1,.750,0.2,0.5,.333,3,0,0.2,.000,0,0,,0.8,0.8,1.000,0.2,0.5,.333,0.8,0.2,0,0,0,0,,0,,0.2,0.2,0,0,0,0,0,,0,0,,0,0,,0,0,,1.9,4,0.5,3.2,1,0.9,0,0,8.8,6,0.2,0.2,0,0.8,0.086,0.1,35
1610612752,2014-15,00,Samuel Dalembert,11,C,83,255,1981-05-10T07:00:00.000Z,33,12,Seton Hall,2223,Samuel,Dalembert,NYK,13,17.1,0.8,0.4,1.2,0.312,0,0,,0.312,10,1.5,0.2,2.5,6.2,0.4,19,0,0,0,,0,0,0,25.2,1.5,0.2,0.1,2.8,3.5,9.7,20,0.3,0.2,0.3,0.5,0,0,,0.5,4,4.6,7.4,.625,2.1,2.5,.450,60,1.5,2.2,.679,1.2,0.3,.789,3.2,5.2,.603,0.9,2.2,.293,2.9,0,,0.7,0.375,0.8,0.312,0.3,0.5,0,0.6,1.2,0.3,0.405,0,0,,0,0,,0,0,,0,0,,14.5,3.9,1.1,3.1,7.9,6.6,0,0,30.8,14.2,0.7,2.2,3.8,2.9,0.095,0.2,400
1610612759,2014-15,00,Tony Parker,9,G,74,185,1982-05-17T07:00:00.000Z,32,13,Paris France,2225,Tony,Parker,SAS,11,32,2.2,0.7,1.6,0.444,0.7,1.2,0.615,0.667,24,0,0.5,0.9,1,0.909,0,9.5,5.1,10.8,0.583,7.6,56,105,60,5.1,0.4,1.5,10.5,12.2,18.3,56,4.7,2.3,5.4,0.424,0.2,0.3,0.667,0.441,52,1.9,3.9,.488,0.1,1.8,.048,21,0.3,0.9,.300,0,0.3,.000,1.6,3,.545,0.1,1.5,.056,15.4,5.1,0.583,0.2,0.5,2.2,0.444,4.7,0.424,3.3,0.2,1.6,5.4,0.534,0,0,,0,0,,0,0,,0,0,,26.8,4.6,2.4,3.7,15.8,11,0,0,80,70.9,6.6,0.5,1.8,15.4,0.192,0.2,880
1610612748,2014-15,00,Chris Andersen,11,F-C,82,245,1978-07-07T07:00:00.000Z,35,12,Blinn J.C.,2365,Chris,Andersen,MIA,7,17.7,0,0,0.3,0,0,0,,0,0,0.6,0.4,2,3.9,0.519,4,0,0,0,,0,0,0,12.7,0.4,0,0.3,0.9,0.9,2.3,3,0,0,0,,0,0,,,0,3.3,5.3,.541,1.1,1.7,.400,23,0.9,1.7,.500,0.3,0.6,.333,2.4,3.6,.560,0.9,1.1,.429,2.1,0,,1.6,1,0,0,0,,0,0.4,0.3,0,0.5,0,0,,0,0,,0,0,,0,0,,8.2,4,1.2,3.2,3.5,3.2,0,0,17.7,7.7,0.3,1.6,2.1,2.1,0.121,0.3,124
1610612741,2014-15,00,Mike Dunleavy,34,F,81,230,1980-09-15T07:00:00.000Z,33,12,Duke,2399,Mike,Dunleavy,CHI,12,31.3,6.6,2.4,5.8,0.414,1.8,4.5,0.389,0.564,79,0.5,0.5,1,2.5,0.4,6,1.2,0.6,1.2,0.75,0.9,7,15,28.8,2.3,0.3,0.4,4.4,5.4,8.3,28,1.6,0.7,1.3,0.5,0.2,0.5,0.5,0.594,19,4.1,8,.510,0.7,3.4,.163,49,0.2,0.7,.375,0.1,0.2,.333,3.8,7.3,.523,0.6,3.2,.152,11.5,0.6,0.75,0.2,0.25,6.6,0.414,1.6,0.5,0.3,0.3,5.8,1.3,0.557,0,0,,0,0,,0,0,,0,0,,27.9,4.5,2.3,3.6,15.9,12,0,0,40.3,33.7,1.1,0.6,1.3,11.5,0.285,0.3,484
1610612764,2014-15,00,Drew Gooden,90,F,82,250,1981-09-24T07:00:00.000Z,32,12,Kansas,2400,Drew,Gooden,WAS,6,19.6,3.8,1.7,3.7,0.455,0.5,1.2,0.429,0.523,23,0.3,0.2,1,2.2,0.462,2,0,0,0,,0,0,0,26,0.7,0.2,0.5,1.2,1.7,4.1,4,0.3,0.2,0.7,0.25,0,0,,0.25,2,4.2,6.2,.676,1.3,2.8,.320,25,1.3,1.8,.727,0.8,0.5,.625,2.8,4.3,.654,0.5,2.3,.176,7,0,,0.7,0.4,3.8,0.455,0.3,0.25,0,0.8,3.7,0.7,0.5,0,0,,0,0,,0,0,,0,0,,8,4.1,1.3,3.3,4.3,3.8,0,0,35.5,19,0.7,0.8,2.5,7,0.197,0.4,213
1610612764,2014-15,00,Nene,42,F-C,83,250,1982-09-13T07:00:00.000Z,31,12,Sao Carlos Brazil,2403, ,Nene,WAS,9,29.3,3.3,1.7,3.9,0.429,0,0,,0.429,30,0.6,1.4,2.3,5.2,0.447,5,0.2,0,0.2,,0,0,2,27,2.7,0.1,0.6,4.2,5.9,9.6,24,0.2,0.1,0.3,0.333,0,0,,0.333,2,5,9.8,.511,1.6,3.4,.311,45,1.4,2.8,.520,0.6,0.9,.385,3.6,7,.508,1,2.6,.281,11.7,0,,4.4,0.515,3.3,0.429,0.2,0.333,0,3.7,3.9,0.3,0.469,0,0,,0,0,,0,0,,0,0,,16.8,3.8,1.9,3,8.6,8.1,0,0,42.1,28.8,1.1,6.4,6.7,11.7,0.277,0.4,379
1610612752,2014-15,00,Amar'e Stoudemire,1,F-C,82,245,1982-11-16T08:00:00.000Z,31,12,Cypress Creek (FL),2405,Amar'e,Stoudemire,NYK,12,23.2,0.8,0.4,1.2,0.357,0,0,,0.357,10,0.4,0.7,2.7,5.7,0.471,5,0.2,0,0.1,0,0,0,2,29.8,1.2,0.1,0.3,2.4,2.8,5.9,14,0.2,0.1,0.4,0.2,0,0,,0.2,2,7.1,12.2,.582,3.3,3.8,.471,85,2.4,4.5,.537,1.9,0.5,.793,4.7,7.7,.609,1.4,3.2,.304,11.7,0,0,2.3,0.632,0.8,0.357,0.2,0.2,0.1,1.6,1.2,0.4,0.532,0,0,,0,0,,0,0,,0,0,,17.9,3.9,1.5,3.1,9.7,8.3,0,0,42.8,21.4,1.2,2.6,6,11.7,0.272,0.5,514
1610612765,2014-15,00,Caron Butler,31,F,79,228,1980-03-13T08:00:00.000Z,34,12,Connecticut,2406,Caron,Butler,DET,12,26.6,3.2,1.1,3,0.361,1,2.8,0.364,0.528,38,0,0.4,1.2,1.8,0.667,0,1.1,0.5,1,0.333,0.9,6,13,31.2,0.7,0.1,0.2,2,1.4,2.6,8,2.7,1.2,2.2,0.519,0.3,0.8,0.444,0.593,32,4.6,7.6,.604,1.3,3.2,.291,55,0.6,1.2,.467,0.3,0.2,.571,4,6.3,.632,1,3,.250,7.8,0.5,0.333,0.2,0.333,3.2,0.361,2.7,0.519,0.5,0.2,3,2.2,0.519,0,0,,0,0,,0,0,,0,0,,21.4,4,1.8,3.2,11.8,9.6,0,0,39.7,22.6,0.8,0.9,0.3,7.8,0.195,0.3,476
